run_id,created_utc,experiment_name,center,sample_level,n_samples,macro_f1,balanced_accuracy,auc_ovr_macro,accuracy,config_hash_sha256,data_fingerprint_sha256,git_commit,git_dirty,model_family
20260306_151746_v1_smoke_center1500_fast,2026-03-06T15:17:46.452651+00:00,v1_smoke_center1500_fast,1500,file_mean,118,0.3933658408588984,0.3992063492063493,0.5275913752486282,0.4067796610169492,,,,,
20260306_153720_v1_smoke_center1500_fast,2026-03-06T15:37:21.062008+00:00,v1_smoke_center1500_fast,1500,file_mean,118,0.3933658408588984,0.3992063492063493,0.5275913752486282,0.4067796610169492,52a28c97eb910b6511246e1c10a51893de23f65b57118ad05f87be6edda48021,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,3b23f8ebfb831ee9e3528564286a59aded9fe712,true,
20260306_154334_s1_1500_file_mean_airpls_msc,2026-03-06T15:43:35.068623+00:00,s1_1500_file_mean_airpls_msc,1500,file_mean,118,0.38124401913875605,0.3906084656084656,0.598731519752059,0.3983050847457627,4f17a4e5d69745d711960912cfdce9209b114a30ac88ec400801b6897641302a,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,ca16e3b6c549477680e459cf9b8c680c0a37c445,true,
20260306_154455_s1_1500_file_mean_airpls_snv,2026-03-06T15:44:55.673651+00:00,s1_1500_file_mean_airpls_snv,1500,file_mean,118,0.45011207697774863,0.45701058201058203,0.6114593537732177,0.4661016949152542,e40038984d4aefd329aef546e66f21050473d382161e784c27c482af189a44dc,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,ca16e3b6c549477680e459cf9b8c680c0a37c445,true,
20260306_154617_s1_1500_file_mean_arpls_msc,2026-03-06T15:46:17.765315+00:00,s1_1500_file_mean_arpls_msc,1500,file_mean,118,0.45693354264782843,0.47724867724867726,0.6782061600739393,0.4915254237288136,c067b3d27615cdceec9db5f63fef1cd3201539f27941a2da8a87256177f0c65c,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,ca16e3b6c549477680e459cf9b8c680c0a37c445,true,
20260306_154745_s1_1500_file_mean_arpls_snv,2026-03-06T15:47:45.548014+00:00,s1_1500_file_mean_arpls_snv,1500,file_mean,118,0.42285697202137157,0.43584656084656087,0.6630541919213293,0.4491525423728814,7873f50e32a2e0a6281f830ca85975df637cfa3b93ab3723c240d3568c17f587,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,ca16e3b6c549477680e459cf9b8c680c0a37c445,true,
20260306_155041_s1_1500_point_airpls_msc,2026-03-06T15:50:41.256714+00:00,s1_1500_point_airpls_msc,1500,point,944,0.34323326308877844,0.3670304232804233,0.5716085420230859,0.3813559322033898,1e56ad880ad8c3c85c37bb17e2402725bff9521c9794538163d931148786fe5b,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,ca16e3b6c549477680e459cf9b8c680c0a37c445,true,
20260306_155246_s1_1500_point_airpls_snv,2026-03-06T15:52:46.874986+00:00,s1_1500_point_airpls_snv,1500,point,944,0.3515055579053327,0.3736111111111111,0.5817724361382597,0.3877118644067797,e9f3443cd092fe0199249d1b2c3c15b5a17a573bf940a13a6e7473b16a2d64ad,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,ca16e3b6c549477680e459cf9b8c680c0a37c445,true,
20260306_155432_s1_1500_point_arpls_msc,2026-03-06T15:54:32.709085+00:00,s1_1500_point_arpls_msc,1500,point,944,0.35033276813687525,0.3718915343915344,0.5757739048737123,0.3855932203389831,ebfb42b6317749d6299428a83fa5201e00bf419c81bb78e6c8aefabff4bd812d,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,ca16e3b6c549477680e459cf9b8c680c0a37c445,true,
20260306_155613_s1_1500_point_arpls_snv,2026-03-06T15:56:13.675981+00:00,s1_1500_point_arpls_snv,1500,point,944,0.3440063402199834,0.36797288359788355,0.5757451375508881,0.3824152542372881,dd9e80a857469d7c7c633369944f1ef48436495abe05d6b30b3c9a830740e9f6,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,ca16e3b6c549477680e459cf9b8c680c0a37c445,true,
20260306_155750_s1_1500_file_mean_arpls_msc,2026-03-06T15:57:50.124662+00:00,s1_1500_file_mean_arpls_msc,1500,file_mean,118,0.45693354264782843,0.47724867724867726,0.6782061600739393,0.4915254237288136,c067b3d27615cdceec9db5f63fef1cd3201539f27941a2da8a87256177f0c65c,348dbaa1bbe453bb47beb1976a4d5c8d724557177dd5a661fe989da06ab81b5d,ca16e3b6c549477680e459cf9b8c680c0a37c445,true,
20260306_155847_s1_2900_file_mean_airpls_msc,2026-03-06T15:58:47.920582+00:00,s1_2900_file_mean_airpls_msc,2900,file_mean,118,0.3943542934415145,0.3974867724867725,0.6211508223863808,0.4067796610169492,a9bac9051a70d48ae01130f5d9e7389b4a5956155c12a3d4c3e4f9d40ef5f5c6,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,ca16e3b6c549477680e459cf9b8c680c0a37c445,true,
20260306_155938_s1_2900_file_mean_airpls_snv,2026-03-06T15:59:38.779489+00:00,s1_2900_file_mean_airpls_snv,2900,file_mean,118,0.4511878825604316,0.45171957671957674,0.6152536333537617,0.4576271186440678,1b9ed1ae1caeb44c991cca8785b593106a0c1dc9a7aa401804b1b49eade3ac20,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,ca16e3b6c549477680e459cf9b8c680c0a37c445,true,
20260306_160028_s1_2900_file_mean_arpls_msc,2026-03-06T16:00:28.316105+00:00,s1_2900_file_mean_arpls_msc,2900,file_mean,118,0.3857142857142857,0.40277777777777773,0.5885491689406965,0.4152542372881356,f38ffefd75398dc7cb69574f960ad67b6eb6ffd409cf67434cce660c13565fb6,7d9be1055eaaf9bc147923ff0d06b3763bf12255371ddbff2af558092543e577,ca16e3b6c549477680e459cf9b8c680c0a37c445,true,
